Code Complexity,÷‹»’, 8 10‘¬ 2023 20:23:25 CST
Class,CBO,MPC
org.example.SimpleNotepad,1,160

Package,Ca,Ce,I,v(G)avg,v(G)tot
org.example,0,0,1.00,11.75,47

Module,v(G)avg,v(G)tot
assignment1,11.75,47

Project,CF,v(G)avg,v(G)tot
project,100.00%,11.75,47

